number,symbols,symbol_converted,fiber_converted,fiber,garment,L_1,S_1,소분류,색상,프린팅,소재,디테일,이숙종C_1차,이숙종C_2차,세풍_1차,세풍_2차,L_1,L_2,S_1,S_2,r,g,b,color,color2,new_color2,symbol_converted.1,fiber_converted,fiber_converted2
231, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 10, 0, 7]","['면', '면']", 면_100%|COTTON_100%,캐주얼상의,0,0,티셔츠,"[['#7a898f', 0.9587629], ['#46515a', 0.041237112]]",['무지'],['면'],['null'],3,11,1,6,0,3,0,2,122,137,143,light,white,light,"[6, 9, 3, 10, 0, 7]","['면', '면']","[1, 1]"
232, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do dry-kr_shadow,"[6, 9, 3, 10, 0]","['면', '면', '폴리우레탄', '폴리에스터']", 면_100%|면_74%|폴리우레탄_3%|폴리에스터_23%,팬츠,3,2,치노팬츠,"[['#4e545b', 0.90688705], ['#aeb2b5', 0.093112946]]",['무지'],['면'],"['단추', '포켓']",9,1,6,4,3,0,2,0,78,84,91,dark,dark,dark,"[6, 9, 3, 10, 0]","['면', '면', '폴리우레탄', '폴리에스터']","[1, 1, 2, 0]"
233, wring-jp_do wash-jp_do dry-clean-kr_do-not bleach_do-not,"[10, 4, 7, 3]","['레이온', '폴리우레탄', '아크릴', '폴리에스터']", 레이온_20%|폴리우레탄_5%|아크릴_40%|폴리에스터_35%,캐주얼상의,0,0,티셔츠,"[['#4e545b', 1.0]]",['무지'],['저지'],['null'],2,0,2,7,0,-1,0,2,78,84,91,dark,dark,dark,"[10, 4, 7, 3]","['레이온', '폴리우레탄', '아크릴', '폴리에스터']","[8, 2, 10, 0]"
234, iron_do-with-cloth bleach_do-not wash-jp_do dry-kr_shadow dry-clean-kr_do-not,"[6, 3, 4, 0, 7]","['나일론', '레이온', '폴리우레탄']", 나일론_28%|레이온_67%|폴리우레탄_5%,스커트,0,2,플레어스커트,"[['#c6d2d2', 0.9097387], ['#92949b', 0.014799927], ['#a5c5d9', 0.07546136]]",['무지'],['면'],['패치워크'],2,0,7,2,0,-1,2,0,198,210,210,light,dark,dark,"[6, 3, 4, 0, 7]","['나일론', '레이온', '폴리우레탄']","[4, 8, 2]"
235, dry-clean_do dry-clean-kr_do wash_do iron_do tumble-dry_do bleach_do-not wash-jp_do,"[11, 2, 23, 1, 19, 3, 4]","['폴리에스터', '폴리에스터', '면', '폴리에스터', '폴리에스터', '면']", POLYESTER_100%|폴리에스터_83%|COTTON_17%|폴리에스터_100%|POLYESTER_83%|면_17%,재킷,0,0,바람막이,"[['#fcb953', 0.4269488], ['#506886', 0.28262806], ['#58c9d4', 0.11759465], ['#85ced1', 0.012026726], ['#c3dbd4', 0.098886415]]",['무지'],['합성섬유'],"['포켓', '단추', '후드', '포켓']",1,9,1,6,0,3,0,2,252,185,83,light,dark,dark,"[11, 2, 23, 1, 19, 3, 4]","['폴리에스터', '폴리에스터', '면', '폴리에스터', '폴리에스터', '면']","[0, 0, 1, 0, 0, 1]"
236, iron_do-with-cloth dry-clean-kr_do wash_do-not bleach_do-not wring-jp_do tumble-dry_do-not,"[6, 2, 27, 3, 10, 5]","['면', '폴리우레탄', '폴리에스터', '폴리에스터', '폴리에스터', '레이온']", 면_52%|폴리우레탄_4%|폴리에스터_48%|폴리에스터_100%|폴리에스터_43%|레이온_53%,코트,3,3,트렌치코트,"[['#658dc6', 0.6754914], ['#557088', 0.2338548], ['#385d8d', 0.06297633], ['#434447', 0.027677497]]",['무지'],['합성섬유'],"['포켓', '단추']",11,0,9,0,3,-1,3,-1,101,141,198,light,white,light,"[6, 2, 27, 3, 10, 5]","['면', '폴리우레탄', '폴리에스터', '폴리에스터', '폴리에스터', '레이온']","[1, 2, 0, 0, 0, 8]"
237, iron_do-with-cloth dry-clean-kr_do iron_do bleach_do-not dry-kr_shadow,"[6, 2, 1, 3, 0]","['솜털', '폴리에스터', '모', '나일론', '깃털']", 거위솜털_80%|폴리에스터_100%|모_65%|나일론_35%|거위깃털_20%,재킷,4,4,바람막이,"[['#b0b7be', 0.93463856], ['#7e7d88', 0.04307229], ['#806062', 0.022289157]]",['무지'],['합성섬유'],"['패딩', '포켓', '후드']",13,0,13,7,4,-1,4,2,176,183,190,light,idk,light,"[6, 2, 1, 3, 0]","['솜털', '폴리에스터', '모', '나일론', '깃털']","[3, 0, 6, 4, 5]"
238, iron_do-with-cloth hand-wash-jp bleach_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 0, 7]","['폴리우레탄', '폴리에스터', '폴리우레탄', '면', '면']", 폴리우레탄_5%|폴리에스터_62%|폴리우레탄_3%|면_35%|면_95%,캐주얼상의,0,0,후드,"[['#686d6c', 1.0]]",['무지'],['면'],['후드'],1,0,1,6,0,-1,0,2,104,109,108,dark,dark,dark,"[6, 9, 3, 0, 7]","['폴리우레탄', '폴리에스터', '폴리우레탄', '면', '면']","[2, 0, 2, 1, 1]"
239, dry-clean_do iron_do-with-cloth dry-clean_do-not hand-wash-jp iron_do dry_normal bleach_do-not hand-wash dry_shadow wring-jp_do tumble-dry_do-not dry-kr_shadow,"[11, 6, 17, 9, 1, 28, 3, 25, 14, 10, 5, 0]","['폴리우레탄', '폴리에스터', '레이온', '폴리우레탄', '폴리에스터', '레이온']", POLYURETHANE_2%|POLYESTER_65%|레이온_33%|폴리우레탄_2%|폴리에스터_65%|RAYON_33%,팬츠,3,0,슬랙스,"[['#5f7278', 0.7564081], ['#99aeae', 0.033673983], ['#363838', 0.16585693], ['#cee1d4', 0.044060983]]",['무지'],['면'],['포켓'],9,0,2,7,3,-1,0,2,95,114,120,dark,dark,dark,"[11, 6, 17, 9, 1, 28, 3, 25, 14, 10, 5, 0]","['폴리우레탄', '폴리에스터', '레이온', '폴리우레탄', '폴리에스터', '레이온']","[2, 0, 8, 2, 0, 8]"
240, dry-kr_shadow wring-jp_do hand-wash-jp,"[0, 10, 9]","['나일론', '폴리우레탄']", 나일론_80%|폴리우레탄_20%,팬츠,0,0,스웨트팬츠,"[['#4abbd5', 0.73843503], ['#a1c8db', 0.21776575], ['#47788a', 0.019438976], ['#bdb8c7', 0.0137795275], ['#b4d3b2', 0.010580708]]",['무지'],['저지'],"['라인', '포켓']",1,0,1,6,0,-1,0,2,74,187,213,light,dark,dark,"[0, 10, 9]","['나일론', '폴리우레탄']","[4, 2]"
241, iron_do-with-cloth dry-clean_do-not flame-warn-kr wash_do iron_do bleach_do-not tumble-dry_do bleach-jp_do-not wash-jp_do dry-kr_shadow dry-clean-kr_do-not,"[6, 17, 8, 23, 1, 3, 19, 13, 4, 0, 7]","['폴리에스터', '나일론', '나일론', '폴리에스터']", POLYESTER_100%|NYLON_100%|나일론_100%|폴리에스터_100%,재킷,0,0,바람막이,"[['#a3a9a6', 0.973007], ['#2d3036', 0.026992982]]",['무지'],['합성섬유'],"['후드', '집업', '포켓', '스트랩']",2,0,2,7,0,-1,0,2,163,169,166,light,dark,dark,"[6, 17, 8, 23, 1, 3, 19, 13, 4, 0, 7]","['폴리에스터', '나일론', '나일론', '폴리에스터']","[0, 4, 4, 0]"
243, dry-clean_do dry-clean-kr_do dry-clean_do-perm-press iron_do wash_do-not bleach_do-not wet-clean_do-not tumble-dry_do-not,"[11, 2, 30, 1, 27, 3, 33, 5]","['나일론', '폴리우레탄', '면', '폴리우레탄', '나일론', '레이온', '레이온', '폴리우레탄', '면', '폴리우레탄']", Polyamide_46%|Elastane_12%|면_42%|폴리우레탄_12%|나일론_46%|레이온_85%|Viscose_85%|Elastane_15%|Cotton_42%|폴리우레탄_15%,캐주얼상의,3,3,스웨트셔츠,"[['#d2cfc4', 0.89568526], ['#767275', 0.064467005], ['#5f575c', 0.039847717]]",['무지'],['면'],['드롭숄더'],10,0,10,0,3,-1,3,-1,210,207,196,light,dark,dark,"[11, 2, 30, 1, 27, 3, 33, 5]","['나일론', '폴리우레탄', '면', '폴리우레탄', '나일론', '레이온', '레이온', '폴리우레탄', '면', '폴리우레탄']","[4, 2, 1, 2, 4, 8, 8, 2, 1, 2]"
244, dry-clean_do-not bleach_do wash_do iron_do tumble-dry_do wash-jp_do dry-clean-kr_do-not,"[17, 18, 23, 1, 19, 4, 7]","['면', '면', '폴리에스터']", 면_80%|면_100%|폴리에스터_20%,재킷,0,0,바람막이,"[['#91dce8', 0.98000306], ['#5487a4', 0.019996947]]",['무지'],['합성섬유'],"['후드', '집업']",2,0,2,7,0,-1,0,2,145,220,232,light,dark,dark,"[17, 18, 23, 1, 19, 4, 7]","['면', '면', '폴리에스터']","[1, 1, 0]"
245, wash_do-perm-press iron_do-with-cloth dry-clean_do-not wash_do iron_do bleach_do-not dry_shadow wash-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[12, 6, 17, 23, 1, 3, 14, 4, 5, 0, 7]","['면', '면']", 면_100%|COTTON_100%,캐주얼상의,0,-1,티셔츠,"[['#c3c6c8', 0.958856], ['#7f8793', 0.024586052], ['#66676d', 0.016557952]]",['스트라이프'],['면'],['null'],3,11,0,0,0,3,-1,-1,195,198,200,light,white,light,"[12, 6, 17, 23, 1, 3, 14, 4, 5, 0, 7]","['면', '면']","[1, 1]"
246, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do dry-kr_shadow,"[6, 9, 3, 10, 0]","['면', '폴리에스터', '폴리에스터', '면']", 면_80%|POLYESTER_20%|폴리에스터_20%|COTTON_80%,캐주얼상의,0,0,스웨트셔츠,"[['#f18aad', 0.59407425], ['#efa6aa', 0.036754593], ['#f8dc6c', 0.09413677], ['#dcd8a8', 0.078509815], ['#d7d7c7', 0.14551818]]",['레터링'],['면'],['null'],1,0,1,6,0,-1,0,2,241,138,173,light,dark,dark,"[6, 9, 3, 10, 0]","['면', '폴리에스터', '폴리에스터', '면']","[1, 0, 0, 1]"
247, iron_do-with-cloth dry-clean-kr_do wash_do-not bleach_do-not dry-kr_shadow,"[6, 2, 27, 3, 0]","['나일론', '모', '폴리에스터']", 나일론_11%|모_89%|폴리에스터_100%,코트,3,3,싱글브레스티드코트,"[['#ff8576', 0.9170276], ['#bf6464', 0.022566674], ['#e6798e', 0.013904719], ['#4f84c4', 0.030544791], ['#844b4d', 0.015956234]]",['무지'],['울/캐시미어'],"['단추', '단추']",9,0,10,0,3,-1,3,-1,255,133,118,light,dark,dark,"[6, 2, 27, 3, 0]","['나일론', '모', '폴리에스터']","[4, 6, 0]"
248, dry-clean_do-not hand-wash-jp bleach_do-not hand-wash iron_do-not tumble-dry_do-not,"[17, 9, 3, 25, 21, 5]","['폴리에스터', '아크릴', '폴리에스터', '폴리에스터', '나일론', '폴리에스터', '모', '폴리에스터', '나일론', '폴리에스터', '면', '나일론', '나일론', '모', '면', '아크릴']", polyester_37%|아크릴_34%|polyester_100%|폴리에스터_37%|나일론_9%|폴리에스터_100%|모직_4%|polyester_57%|nylon_9%|폴리에스터_57%|cotton_54%|나일론_5%|nylon_5%|wool_4%|면_54%|acryl_34%,점퍼,0,2,야상,"[['#98a0a5', 0.9797603], ['#39373b', 0.020239733]]",['무지'],['합성섬유'],"['후드', '단추']",1,0,6,0,0,-1,2,-1,152,160,165,light,dark,dark,"[17, 9, 3, 25, 21, 5]","['폴리에스터', '아크릴', '폴리에스터', '폴리에스터', '나일론', '폴리에스터', '모', '폴리에스터', '나일론', '폴리에스터', '면', '나일론', '나일론', '모', '면', '아크릴']","[0, 10, 0, 0, 4, 0, 6, 0, 4, 0, 1, 4, 4, 6, 1, 10]"
249, dry-kr_shadow iron_do-not hand-wash-jp bleach_do-not,"[0, 21, 9, 3]","['폴리우레탄', '폴리에스터', '면']", 폴리우레탄_5%|폴리에스터_100%|면_95%,니트웨어,0,0,스웨터,"[['#b5ced4', 0.81282], ['#8c9fa1', 0.14109614], ['#434854', 0.046083823]]",['체크'],['면'],['null'],2,0,2,7,0,-1,0,2,181,206,212,light,dark,dark,"[0, 21, 9, 3]","['폴리우레탄', '폴리에스터', '면']","[2, 0, 1]"
250, dry-clean_do-not wash_do iron_do tumble-dry_do bleach_do-not wash-jp_do dry-clean-kr_do-not,"[17, 23, 1, 19, 3, 4, 7]",['면'], 면_100%,청바지,0,0,청바지,"[['#d1d5d0', 0.97663367], ['#7e7d88', 0.011485148], ['#4e5368', 0.0118811885]]",['무지'],['면'],"['포켓', '단추']",2,10,2,7,0,3,0,2,209,213,208,light,dark,dark,"[17, 23, 1, 19, 3, 4, 7]",['면'],[1]
251, iron_do-with-cloth bleach_do-not wash-jp_do dry-kr_shadow dry-clean-kr_do-not,"[6, 3, 4, 0, 7]","['나일론', '폴리에스터']", 나일론_100%|폴리에스터_100%,재킷,0,0,바람막이,"[['#f18aad', 0.9650044], ['#ce6ba4', 0.023622047], ['#a9568c', 0.011373579]]",['무지'],['합성섬유'],"['후드', '집업']",1,0,1,6,0,-1,0,2,241,138,173,light,dark,dark,"[6, 3, 4, 0, 7]","['나일론', '폴리에스터']","[4, 0]"
252, hand-wash-jp wring-jp_do-not bleach_do-not iron_do-not dry-kr_shadow dry-clean-kr_do-not,"[9, 16, 3, 21, 0, 7]",['폴리에스터'], 폴리에스테르_100%,셔츠,0,0,셔츠,"[['#5c798e', 0.673377], ['#bcd9c8', 0.20835431], ['#434447', 0.10182855], ['#716a4d', 0.016440194]]",['무지'],['면'],"['포켓', '집업', '단추']",2,0,2,7,0,-1,0,2,92,121,142,dark,dark,dark,"[9, 16, 3, 21, 0, 7]",['폴리에스터'],[0]
253, iron_do-with-cloth dry-kr_normal wash-jp_do bleach_do-not,"[6, 20, 4, 3]","['폴리에스터', '면', '폴리우레탄']", 폴리에스터_24%|면_73%|폴리우레탄_3%,청바지,0,0,청바지,"[['#f4efc1', 0.8525019], ['#f7f7f7', 0.074672826], ['#d8c0ad', 0.047882985], ['#46434a', 0.0143187065], ['#725f69', 0.010623557]]",['그라데이션'],['데님'],['포켓'],1,0,1,6,0,-1,0,2,244,239,193,light,dark,dark,"[6, 20, 4, 3]","['폴리에스터', '면', '폴리우레탄']","[0, 1, 2]"
254, dry-clean_do iron_do-with-cloth dry-kr_normal dry-clean-kr_do hand-wash-jp iron_do bleach_do-not hand-wash dry_shadow tumble-dry_do-not dry-kr_shadow,"[11, 6, 20, 2, 9, 1, 3, 25, 14, 5, 0]","['면', '면']", 면_100%|COTTON_100%,팬츠,3,2,잠옷바지,"[['#7a898f', 0.9593514], ['#41424a', 0.040648602]]",['체크'],['면'],['단추'],10,2,7,4,3,0,2,0,122,137,143,light,dark,dark,"[11, 6, 20, 2, 9, 1, 3, 25, 14, 5, 0]","['면', '면']","[1, 1]"
255, wash_do-perm-press dry-clean_do-not bleach_do iron_do tumble-dry_do bleach_do-not wash-jp_do dry-clean-kr_do-not,"[12, 17, 18, 1, 19, 3, 4, 7]","['면', '면']", 면_100%|COTTON_100%,팬츠,0,0,치노팬츠,"[['#686d6c', 1.0]]",['무지'],['면'],"['포켓', '단추']",2,0,2,7,0,-1,0,2,104,109,108,dark,dark,dark,"[12, 17, 18, 1, 19, 3, 4, 7]","['면', '면']","[1, 1]"
256, dry-clean_do iron_do-with-cloth dry-clean-kr_do iron_do wash_do-not bleach_do-not bleach-jp_do-not dry_shadow dry-jp_shadow tumble-dry_do-not dry-kr_shadow,"[11, 6, 2, 1, 27, 3, 13, 14, 15, 5, 0]","['폴리에스터', '아크릴', '폴리에스터', '폴리에스터', '모', '면', '폴리에스터', '나일론', '면', '면']", 폴리에스터_80%|아크릴_5%|폴리에스터_100%|폴리에스터_87%|모_5%|면_60%|폴리에스터_17%|나일론_13%|면_13%|면_20%,재킷,3,3,재킷,"[['#8f9e9d', 0.8662252], ['#c1cec1', 0.11611479], ['#39373b', 0.017660044]]",['스트라이프'],['면'],['슬릿'],11,0,9,0,3,-1,3,-1,143,158,157,light,white,light,"[11, 6, 2, 1, 27, 3, 13, 14, 15, 5, 0]","['폴리에스터', '아크릴', '폴리에스터', '폴리에스터', '모', '면', '폴리에스터', '나일론', '면', '면']","[0, 10, 0, 0, 6, 1, 0, 4, 1, 1]"
257, iron_do-with-cloth hand-wash-jp bleach_do-not tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 5, 0, 7]","['폴리에스터', '면', '폴리에스터', '레이온', '폴리우레탄']", 폴리에스터_22%|면_65%|폴리에스터_100%|레이온_11%|폴리우레탄_2%,청바지,0,0,청바지,"[['#888d82', 0.9725063], ['#4e545b', 0.027493713]]",['무지'],['데님'],"['포켓', '단추']",2,0,2,7,0,-1,0,2,136,141,130,light,dark,dark,"[6, 9, 3, 5, 0, 7]","['폴리에스터', '면', '폴리에스터', '레이온', '폴리우레탄']","[0, 1, 0, 8, 2]"
258, iron_do-with-cloth bleach_do-not wash-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 3, 4, 5, 0, 7]","['폴리우레탄', '면']", 폴리우레탄_2%|면_98%,청바지,0,0,청바지,"[['#aeb2b5', 0.9559402], ['#7f8793', 0.031995803], ['#585e6f', 0.012063991]]",['무지'],['데님'],"['포켓', '단추', '디스트로이드']",1,9,1,6,0,3,0,2,174,178,181,light,dark,dark,"[6, 3, 4, 5, 0, 7]","['폴리우레탄', '면']","[2, 1]"
259, dry-kr_shadow wash-jp_do dry-clean-kr_do bleach_do-not,"[0, 4, 2, 3]",['면'], COTTON_100%,셔츠,0,0,셔츠,"[['#5487a4', 0.95794684], ['#434447', 0.025149453], ['#c8e0e0', 0.016903732]]",['체크'],['면'],"['단추', '포켓']",1,9,1,6,0,3,0,2,84,135,164,dark,dark,dark,"[0, 4, 2, 3]",['면'],[1]
260, dry-clean_do-not hand-wash-jp bleach_do-not hand-wash dry_shadow iron_do-not tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[17, 9, 3, 25, 14, 21, 5, 0, 7]","['폴리에스터', '면', '폴리에스터', '면']", POLYESTER_100%|면_100%|폴리에스터_100%|COTTON_100%,베스트,1,0,패딩조끼,"[['#58646d', 1.0]]",['무지'],['합성섬유'],['퀼팅'],5,0,1,6,1,-1,0,2,88,100,109,dark,idk,dark,"[17, 9, 3, 25, 14, 21, 5, 0, 7]","['폴리에스터', '면', '폴리에스터', '면']","[0, 1, 0, 1]"
261, dry-kr_shadow wring-jp_do-not hand-wash-jp bleach_do-not,"[0, 16, 9, 3]","['면', '폴리우레탄']", 면_97%|폴리우레탄_3%,셔츠,5,0,셔츠,"[['#fadc53', 0.93582696], ['#c8a369', 0.06417302]]",['무지'],['면'],"['포켓', '단추']",14,0,1,6,5,-1,0,2,250,220,83,light,white,light,"[0, 16, 9, 3]","['면', '폴리우레탄']","[1, 2]"
262, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 10, 0, 7]","['폴리에스터', '폴리에스터']", POLYESTER_100%|폴리에스터_100%,팬츠,0,0,스웨트팬츠,"[['#46515a', 0.85278744], ['#879ba3', 0.017639372], ['#d8c9a3', 0.076219514], ['#c8e0e0', 0.026785715], ['#a5bcbb', 0.015897213]]",['무지'],['합성섬유'],"['라인', '스트랩', '후드']",1,0,2,7,0,-1,0,2,70,81,90,dark,dark,dark,"[6, 9, 3, 10, 0, 7]","['폴리에스터', '폴리에스터']","[0, 0]"
263, iron_do-with-cloth dry-clean-kr_do dry_normal bleach_do-not dry-kr_shadow,"[6, 2, 28, 3, 0]",['면'], 면_100%,스커트,0,2,트럼펫스커트,"[['#a8b0ae', 0.95635], ['#7f8793', 0.029931407], ['#39373b', 0.013718561]]",['무지'],['합성섬유'],['null'],1,0,7,4,0,-1,2,0,168,176,174,light,dark,dark,"[6, 2, 28, 3, 0]",['면'],[1]
264, iron_do-with-cloth hand-wash-jp bleach_do-not dry-clean-kr_do-not tumble-dry_do wring-jp_do dry-kr_shadow flame-warn-kr,"[6, 9, 3, 7, 19, 10, 0, 8]","['폴리우레탄', '면', '면']", 폴리우레탄_5%|면_100%|면_95%,캐주얼상의,0,0,티셔츠,"[['#e2eaeb', 0.978497], ['#6e7e99', 0.021502942]]",['그래픽'],['면'],['null'],1,0,1,6,0,-1,0,2,226,234,235,light,dark,dark,"[6, 9, 3, 7, 19, 10, 0, 8]","['폴리우레탄', '면', '면']","[2, 1, 1]"
265, dry-clean_do-not bleach_do iron_do tumble-dry_do wash_do-gentle,"[17, 18, 1, 19, 24]","['폴리에스터', '솜털', '깃털']", POLYESTER_100%|DOWN_60%|WATERFOWL FEATHERS_40%,패딩,1,1,패딩,['null'],['무지'],['합성섬유'],"['퀼팅', '포켓', '후드']",5,0,5,0,1,-1,1,-1,-1,-1,-1,,idk,,"[17, 18, 1, 19, 24]","['폴리에스터', '솜털', '깃털']","[0, 3, 5]"
266, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 10, 5, 0, 7]","['면', '폴리우레탄', '폴리에스터']", 면_56%|폴리우레탄_3%|폴리에스터_41%,캐주얼상의,0,0,티셔츠,"[['#557088', 0.93008786], ['#4e545b', 0.06991215]]",['무지'],['면'],['null'],1,0,1,6,0,-1,0,2,85,112,136,dark,dark,dark,"[6, 9, 3, 10, 5, 0, 7]","['면', '폴리우레탄', '폴리에스터']","[1, 2, 0]"
267, iron_do-with-cloth dry-clean-kr_do wash_do-not bleach_do-not,"[6, 2, 27, 3]","['아크릴', '모']", 아크릴_0%|모_0%,니트웨어,3,3,가디건,"[['#8a9992', 0.9682607], ['#3c3f4a', 0.01713923], ['#c9dcdc', 0.014600085]]",['무지'],['합성섬유'],['단추'],9,0,10,0,3,-1,3,-1,138,153,146,light,dark,dark,"[6, 2, 27, 3]","['아크릴', '모']","[10, 6]"
268, iron_do-with-cloth dry-clean-kr_do wash_do-not bleach_do-not,"[6, 2, 27, 3]","['모', '면', '폴리에스터', '나일론', '폴리에스터']", 모_100%|면_65%|폴리에스터_100%|나일론_32%|폴리에스터_3%,재킷,3,3,재킷,"[['#95dee3', 0.9654471], ['#52a2b4', 0.015243903], ['#34414e', 0.019308943]]",['무지'],['합성섬유'],"['포켓', '집업']",10,0,10,0,3,-1,3,-1,149,222,227,light,dark,dark,"[6, 2, 27, 3]","['모', '면', '폴리에스터', '나일론', '폴리에스터']","[6, 1, 0, 4, 0]"
269, iron_do-with-cloth dry-kr_shadow hand-wash-jp bleach_do-not,"[6, 0, 9, 3]","['모', '아크릴', '아크릴', '모']", WOOL_30%|ACRYLIC_70%|아크릴_70%|모_30%,니트웨어,3,3,스웨터,"[['#3e7fa5', 0.53259236], ['#30658e', 0.17602883], ['#f8dc6c', 0.22979873], ['#d2cc81', 0.014118354], ['#8c9c92', 0.02973866]]",['무지'],['니트'],['라인'],9,0,9,6,3,-1,3,2,62,127,165,dark,dark,dark,"[6, 0, 9, 3]","['모', '아크릴', '아크릴', '모']","[6, 10, 10, 6]"
270, dry-clean_do-not wash_do bleach_do-not dry_shadow wash-jp_do iron_do-not tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[17, 23, 3, 14, 4, 21, 5, 0, 7]","['면', '폴리우레탄', '면', '면', '폴리에스터', '폴리우레탄', '폴리에스터', '폴리에스터', '면', '폴리에스터']", COTTON_16%|폴리우레탄_4%|COTTON_26%|면_26%|폴리에스터_80%|POLYURETHANE_4%|POLYESTER_80%|폴리에스터_70%|면_16%|POLYESTER_70%,니트웨어,0,0,스웨터,"[['#726f70', 0.9099954], ['#4e545b', 0.09000463]]",['체크'],['면'],['단추'],1,0,1,6,0,-1,0,2,114,111,112,dark,dark,dark,"[17, 23, 3, 14, 4, 21, 5, 0, 7]","['면', '폴리우레탄', '면', '면', '폴리에스터', '폴리우레탄', '폴리에스터', '폴리에스터', '면', '폴리에스터']","[1, 2, 1, 1, 0, 2, 0, 0, 1, 0]"
271, iron_do-with-cloth dry-clean_do-not bleach_do-not wash-jp_do tumble-dry_do-not dry-kr_shadow,"[6, 17, 3, 4, 5, 0]","['면', '폴리우레탄', '폴리에스터']", 면_70%|폴리우레탄_3%|폴리에스터_27%,청바지,0,0,청바지,"[['#c5ccc0', 0.9593342], ['#92949b', 0.026858332], ['#585e6f', 0.013807452]]",['무지'],['데님'],"['단추', '포켓']",2,0,2,7,0,-1,0,2,197,204,192,light,dark,dark,"[6, 17, 3, 4, 5, 0]","['면', '폴리우레탄', '폴리에스터']","[1, 2, 0]"
272, wring-jp_do wash-jp_do iron_do hand-wash-jp,"[10, 4, 1, 9]","['폴리우레탄', '면']", span_3%|cotton_97%,팬츠,3,2,치노팬츠,"[['#46515a', 0.8442597], ['#7f8793', 0.049728174], ['#b5bab6', 0.028141988], ['#98a0a5', 0.02670291], ['#cee1d4', 0.051167253]]",['무지'],['면'],"['포켓', '단추']",10,0,7,10,3,-1,2,3,70,81,90,dark,dark,dark,"[10, 4, 1, 9]","['폴리우레탄', '면']","[2, 1]"
273, iron_do-with-cloth dry-clean-kr_do hand-wash-jp bleach_do-not tumble-dry_do-not dry-kr_shadow,"[6, 2, 9, 3, 5, 0]","['레이온', '나일론', '폴리우레탄']", 레이온_78%|나일론_19%|폴리우레탄_3%,팬츠,0,2,슬랙스,"[['#cad3c1', 0.954195], ['#8e918f', 0.029024944], ['#585e6f', 0.016780045]]",['무지'],['면'],['포켓'],1,0,6,9,0,-1,2,3,202,211,193,light,dark,dark,"[6, 2, 9, 3, 5, 0]","['레이온', '나일론', '폴리우레탄']","[8, 4, 2]"
274, iron_do-with-cloth hand-wash-jp bleach_do-not wring-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 9, 3, 10, 5, 0, 7]","['폴리에스터', '폴리우레탄']", 폴리에스터_92%|폴리우레탄_8%,팬츠,0,0,스웨트팬츠,"[['#b18eaa', 0.9778591], ['#675a74', 0.022140896]]",['무지'],['면'],"['포켓', '라인']",1,0,1,6,0,-1,0,2,177,142,170,light,dark,dark,"[6, 9, 3, 10, 5, 0, 7]","['폴리에스터', '폴리우레탄']","[0, 2]"
275, dry-clean-kr_do bleach_do-not wash-jp_do iron_do-not tumble-dry_do-not,"[2, 3, 4, 21, 5]","['깃털', '나일론', '솜털', '폴리에스터']", 오리깃털_50%|나일론_100%|오리솜털_50%|폴리에스터_100%,패딩,1,1,패딩,"[['#bfc8c3', 0.98808867], ['#7f8793', 0.011911358]]",['무지'],['합성섬유'],"['포켓', '퀼팅']",5,0,5,0,1,-1,1,-1,191,200,195,light,idk,light,"[2, 3, 4, 21, 5]","['깃털', '나일론', '솜털', '폴리에스터']","[5, 4, 3, 0]"
276, dry-clean_do wash_do-perm-press dry-clean-kr_do bleach_do iron_do tumble-dry_do wash-jp_do,"[11, 12, 2, 18, 1, 19, 4]","['면', '아크릴', '면', '아크릴']", 면_80%|ACRYLIC_20%|COTTON_80%|아크릴_20%,캐주얼상의,3,3,후드,"[['#5c798e', 0.9780788], ['#5c5d5b', 0.021921227]]",['무지'],['합성섬유'],['후드'],11,0,9,6,3,-1,3,2,92,121,142,dark,white,light,"[11, 12, 2, 18, 1, 19, 4]","['면', '아크릴', '면', '아크릴']","[1, 10, 1, 10]"
277, iron_do-with-cloth bleach_do wash-jp_do tumble-dry_do-not dry-kr_shadow dry-clean-kr_do-not,"[6, 18, 4, 5, 0, 7]",['면'], 면_100%,팬츠,0,2,스웨트팬츠,"[['#879f84', 0.8797187], ['#e3bc8e', 0.07198372], ['#46515a', 0.035529237], ['#8f9e9d', 0.01276832]]",['체크'],['면'],['null'],1,0,6,1,0,-1,2,0,135,159,132,light,dark,dark,"[6, 18, 4, 5, 0, 7]",['면'],[1]
